Date,Relative week,Relative date,Phase,Preferred day,Platform,Post type,Typefully examples,Working title / angle,Audience,Primary CTA,Assets needed,Why this belongs in this phase,Status
TBD,T-6 weeks,T-42 days,Awareness,Monday,Primary social,Resource refresh,resource_update: 9709998 6814872 7482218,The {{ course_name }} repo/docs/syllabus are ready,Interested learners,Open the course materials,GitHub repo; docs; syllabus; FAQ,Resource posts belong once assets are usable and can support later registration CTAs.,Planned
TBD,T-6 weeks,T-40 days,Awareness,Wednesday,Primary social,Workshop announcement,live_event_workshop: 9328336 9174752 9047907,Free workshop before {{ course_name }},Potential learners,Register for the workshop,Workshop topic; event URL; date/time,Workshops work as awareness and trust-building events before the main decision window.,Planned
TBD,T-6 weeks,T-39 days,Awareness,Thursday,Primary social,Proof placeholder,social_proof: 8802681 8518298 8986489 7314383,What previous learners built or achieved,Potential learners,Join the waitlist or register,Verified testimonial; project; metric; ranking,"Proof can strengthen awareness, but only if a real proof asset exists. Keep this row as optional until proof is collected.",Planned
TBD,T-5 weeks,T-35 days,Consideration,Monday,Primary social,Main registration announcement,course_launch: 8960565 6918323 5695158,Registration is open for {{ course_name }},Interested learners,Register for the cohort,Registration URL; start date; outcomes,Five weeks out is a strong point to move from awareness to direct registration.,Planned
TBD,T-5 weeks,T-33 days,Consideration,Wednesday,Primary social,Syllabus walkthrough,course_positioning_faq: 7147871 7228631 7482218,What you will learn week by week,Interested learners,Read the full syllabus,Module list; weekly outcomes,A syllabus walkthrough helps interested people evaluate the time investment and learning path.,Planned
TBD,T-5 weeks,T-32 days,Consideration,Thursday,Primary social,Outcome list,course_launch: 8960565 6918323 5695158,"By the end, you will be able to build {{ concrete_project_or_skill }}",Interested learners,Register,Learning outcomes; project description,Concrete outcomes make the course promise credible and actionable.,Planned
TBD,T-4 weeks,T-28 days,Consideration,Monday,Primary social,Prerequisites post,course_positioning_faq: 7147871 7228631 7482218,What you need before starting {{ course_name }},People deciding if they are ready,Check prerequisites and register,Required; recommended; not-required prerequisites,Four weeks out is when learners need to know if they can realistically join.,Planned
TBD,T-4 weeks,T-26 days,Consideration,Wednesday,Primary social,Format explainer,course_positioning_faq: 7147871 7228631 7482218,"How the live cohort works: deadlines, homework, community, certificates",Interested learners,Register for the live cohort,Delivery format; homework rules; certificate rules,Format posts belong in consideration because they explain why joining live is different from self-paced study.,Planned
TBD,T-4 weeks,T-25 days,Consideration,Thursday,Primary social,Self-paced vs live cohort,course_positioning_faq: 7147871 7228631 7482218,Self-paced materials vs live cohort: what changes?,Learners comparing options,Choose live cohort or self-paced path,Course format; certificate eligibility; community details,This answers a decision-stage objection and reduces confusion for evergreen courses.,Planned
TBD,T-3 weeks,T-21 days,Consideration,Monday,Primary social,Objection handler,course_positioning_faq: 7147871 7228631 7482218,Can I join if I only know {{ baseline_skill }}?,Uncertain learners,Read FAQ and register,FAQ; prerequisites; common comments,Three weeks out is ideal for answering blockers before final urgency starts.,Planned
TBD,T-3 weeks,T-19 days,Consideration,Wednesday,Primary social,Comparison post,career_audience_framing: 7650176 7800561 6951674,{{ course_topic }} vs {{ adjacent_topic }}: what is the difference?,Learners choosing a path,Read the syllabus,Positioning notes; adjacent courses/topics,Comparison posts help learners understand whether this Zoomcamp is the right route for them.,Planned
TBD,T-3 weeks,T-18 days,Consideration,Thursday,Primary social,Proof post,social_proof: 8802681 8518298 8986489 7314383,A learner/project/result that shows the course works,Interested learners,Register,Verified proof asset,Proof belongs here because people already understand the course and now need confidence that it is worth their time.,Planned
TBD,T-2 weeks,T-14 days,Decision,Monday,Primary social,Pre-course Q&A announcement,live_event_workshop: 9328336 9174752 9047907,Pre-course Q&A for {{ course_name }} is today / this week,Interested but undecided learners,Attend the Q&A,Q&A event URL; date/time; agenda,You usually run pre-course Q&A two weeks before launch. This is the right point because questions are concrete and there is still time to register.,Planned
TBD,T-2 weeks,T-13 days,Decision,Tuesday,Primary social,Q&A recap,live_event_workshop: 9328336 9174752 9047907,Answers to the most common questions about {{ course_name }},People who missed Q&A,Watch recording or register,Q&A notes; recording; FAQ,The recap converts live questions into decision support for everyone who could not attend.,Planned
TBD,T-2 weeks,T-12 days,Decision,Wednesday,Primary social,Setup checklist,resource_update: 9709998 6814872 7482218,What to install or create before the course starts,Registered learners and undecided learners,Prepare your environment,Environment docs; account checklist,Setup is useful in the final two weeks because learners can act immediately.,Planned
TBD,T-2 weeks,T-11 days,Decision,Thursday,Primary social,Social proof reminder,social_proof: 8802681 8518298 8986489 7314383,What previous students/projects show about the course,Late-stage learners,Register,Verified proof asset,Late-stage proof helps people who understand the course but still need confidence.,Planned
TBD,T-1 week,T-7 days,Decision,Monday,Primary social,Final registration reminder,course_launch: 8960565 6918323 5695158,{{ course_name }} starts in one week,Late-stage learners,Register,Registration URL; start date,One week out is a valid urgency point because the start date is close and real.,Planned
TBD,T-1 week,T-5 days,Decision,Wednesday,Primary social,First-week preview,module_announcement: 9549329 8111970 8048693,What happens in week 1 of {{ course_name }},Registered and undecided learners,Register or prepare,Module 1 outline; starter links,A first-week preview lowers anxiety and makes the cohort feel concrete.,Planned
TBD,T-1 week,T-3 days,Decision,Friday,Primary social,Launch stream reminder,live_event_workshop: 9328336 9174752 9047907,Join the launch stream for {{ course_name }},Registered and undecided learners,Attend launch stream,Launch event URL; date/time,Launch reminders belong in the final week because event attendance depends on timing.,Planned
TBD,T-1 day,T-1 day,Decision,Sunday,Primary social,Starts tomorrow,course_launch: 8960565 6918323 5695158,{{ course_name }} starts tomorrow,Late-stage learners,Register now or prepare,Registration URL; start date; setup checklist,Use this only when the date is confirmed. It is the last pre-launch nudge.,Planned
TBD,Start week,T+0 days,Launch Week,Monday,Primary social,Starts today,course_launch: 8960565 6918323 5695158,{{ course_name }} starts today,Registered learners and late joiners,Start the course or register if still open,Course platform; repo; launch stream,Start-day posts belong on launch day because they create momentum and direct learners to the first action.,Planned
TBD,Start week,T+0 days,Launch Week,Monday,Primary social,Launch stream,live_event_workshop: 9328336 9174752 9047907,We are kicking off {{ course_name }} live,Registered learners,Attend launch stream,Launch stream URL; agenda,"The launch stream is part of onboarding, so it belongs on start day.",Planned
TBD,Start week,T+1 day,Launch Week,Tuesday,Primary social,Module 1 announcement,module_announcement: 9549329 8111970 8048693,Module 1 starts: {{ module_1_topic }},Current learners,Start Module 1,Module 1 materials; homework link,"Each module lasts one week, so Module 1 needs a clear start-week announcement.",Planned
TBD,Start week,T+2 days,Launch Week,Wednesday,Primary social,Materials link post,resource_update: 9709998 6814872 7482218,"All links for week 1: repo, platform, docs, FAQ, community",Current learners,Open the materials,Repo; platform; docs; FAQ; community links,Launch week creates many operational questions; a single links post reduces friction.,Planned
TBD,Start week,T+3 days,Launch Week,Thursday,Primary social,How to ask questions,community_learning_public: 8519005 7800221 6919241,How to get help during {{ course_name }},Current learners,Ask questions in the right channel,Question guidelines; community links,"Support norms belong early, before questions scatter across channels.",Planned
TBD,Start week,T+4 days,Launch Week,Friday,Primary social,First-week troubleshooting,"",Common setup problems and how to fix them,Current learners,Use troubleshooting guide,Known setup issues; FAQ,"Troubleshooting belongs at the end of week 1, once learners have tried the setup.",Planned
TBD,Module 2 week,T+7 days,Active Cohort,Monday,Primary social,Module announcement,module_announcement: 9549329 8111970 8048693,Module 2 starts: {{ module_2_topic }},Current learners,Start Module 2,Module 2 materials; homework link,"Each module lasts one week, so a Monday module announcement resets the learning focus.",Planned
TBD,Module 2 week,T+9 days,Active Cohort,Wednesday,Primary social,Educational micro-lesson,educational_micro_lesson: 9333232 9164504 9341648 9333135,One key idea from Module 2,Current learners and broader audience,Study Module 2,Module 2 concept; example,A midweek lesson reinforces the active module and creates public educational value.,Planned
TBD,Module 2 week,T+11 days,Active Cohort,Friday,Primary social,Homework / catch-up reminder,module_announcement: 9549329 8111970 8048693,Module 2 homework and catch-up guidance,Current learners,Submit homework or catch up,Homework deadline; catch-up notes,End-of-week reminders help learners maintain the weekly cohort rhythm.,Planned
TBD,Module 3 week,T+14 days,Active Cohort,Monday,Primary social,Module announcement,module_announcement: 9549329 8111970 8048693,Module 3 starts: {{ module_3_topic }},Current learners,Start Module 3,Module 3 materials; homework link,Weekly module starts keep learners oriented and reinforce that each module lasts one week.,Planned
TBD,Module 3 week,T+16 days,Active Cohort,Wednesday,Primary social,Opinion / principle,opinion_principle: 9333232 9176590 8802566,The principle behind {{ module_3_topic }},Current learners and broader audience,Study Module 3,Module 3 teaching stance,Principle posts work during active modules because learners can apply the idea immediately.,Planned
TBD,Module 3 week,T+18 days,Active Cohort,Friday,Primary social,Office hours / recording,live_event_workshop: 9328336 9174752 9047907,Office hours or recording for Module 3,Current learners,Attend office hours or watch recording,Event or recording URL,Support posts belong during the active module when questions are fresh.,Planned
TBD,Module 4 week,T+21 days,Active Cohort,Monday,Primary social,Module announcement,module_announcement: 9549329 8111970 8048693,Module 4 starts: {{ module_4_topic }},Current learners,Start Module 4,Module 4 materials; homework link,A module-start post keeps the weekly cadence predictable.,Planned
TBD,Module 4 week,T+23 days,Active Cohort,Wednesday,Primary social,Failure-mode post,educational_micro_lesson: 9333232 9164504 9341648 9333135,Common mistakes in {{ module_4_topic }},Current learners and broader audience,Review the module guide,Known mistakes; FAQ; examples,"Failure-mode posts are useful mid-module, when learners are hitting real problems.",Planned
TBD,Module 4 week,T+25 days,Active Cohort,Friday,Primary social,Learning-in-public prompt,community_learning_public: 8519005 7800221 6919241,Share what you built or learned in Module 4,Current learners,Post progress or notes,Community links; examples,"By Friday, learners have enough progress to share, and public sharing builds community proof.",Planned
TBD,Module 5 week,T+28 days,Active Cohort,Monday,Primary social,Module announcement,module_announcement: 9549329 8111970 8048693,Module 5 starts: {{ module_5_topic }},Current learners,Start Module 5,Module 5 materials; homework link,Each new module gets a clear start signal because modules last one week.,Planned
TBD,Module 5 week,T+30 days,Active Cohort,Wednesday,Primary social,Tool deep dive,educational_micro_lesson: 9333232 9164504 9341648 9333135,How {{ module_5_tool }} fits into the course workflow,Current learners and tool-curious audience,Study Module 5,Tool notes; module materials,Tool posts belong when the relevant tool appears in the active module.,Planned
TBD,Module 5 week,T+32 days,Active Cohort,Friday,Primary social,Mid-course motivation,"",Falling behind? Here is how to catch up,Current learners,Catch up this weekend,Catch-up path; module priorities,"Around the middle of a Zoomcamp, learners often fall behind; this post helps retention.",Planned
TBD,Module 6 week,T+35 days,Active Cohort,Monday,Primary social,Module announcement,module_announcement: 9549329 8111970 8048693,Module 6 starts: {{ module_6_topic }},Current learners,Start Module 6,Module 6 materials; homework link,A module-start post keeps the one-module-per-week rhythm visible.,Planned
TBD,Module 6 week,T+37 days,Active Cohort,Wednesday,Primary social,Educational micro-lesson,educational_micro_lesson: 9333232 9164504 9341648 9333135,One key idea from Module 6,Current learners and broader audience,Study Module 6,Module 6 concept; example,Educational posts during active cohort serve learners and keep the campaign useful to non-learners.,Planned
TBD,Module 6 week,T+39 days,Active Cohort,Friday,Primary social,Homework / catch-up reminder,module_announcement: 9549329 8111970 8048693,Module 6 homework and catch-up guidance,Current learners,Submit homework or catch up,Homework deadline; support links,End-of-week reminders support completion and reduce silent drop-off.,Planned
TBD,Module 7 week,T+42 days,Active Cohort,Monday,Primary social,Module announcement,module_announcement: 9549329 8111970 8048693,Module 7 starts: {{ module_7_topic }},Current learners,Start Module 7,Module 7 materials; homework link,The one-week module structure needs a predictable weekly announcement.,Planned
TBD,Module 7 week,T+44 days,Active Cohort,Wednesday,Primary social,Resource update,resource_update: 9709998 6814872 7482218,New or important materials for Module 7,Current learners,Open updated materials,Docs; repo changes; recording,"Resource updates belong during the module they affect, not weeks later.",Planned
TBD,Module 7 week,T+46 days,Active Cohort,Friday,Primary social,Community prompt,community_learning_public: 8519005 7800221 6919241,What questions came up in Module 7?,Current learners,Ask or answer in community,Community channel; question guidelines,"Community prompts are useful at the end of a module, when learners can help each other.",Planned
TBD,Module 8 week,T+49 days,Active Cohort,Monday,Primary social,Module announcement,module_announcement: 9549329 8111970 8048693,Module 8 starts: {{ module_8_topic }},Current learners,Start Module 8,Module 8 materials; homework link,This is the final regular module in the abstract 8-module template.,Planned
TBD,Module 8 week,T+51 days,Active Cohort,Wednesday,Primary social,Project preparation,project_challenge: 8388879 8115013 7229150,Start thinking about your final project,Current learners,Review project requirements,Project docs; examples; rubric,"Near the final module, learners should shift from weekly homework to project planning.",Planned
TBD,Module 8 week,T+53 days,Active Cohort,Friday,Primary social,Module close / project transition,project_challenge: 8388879 8115013 7229150,The module phase is ending; project phase begins next,Current learners,Prepare project idea,Project docs; timeline,This bridges the weekly module rhythm into the project phase.,Planned
TBD,Project week 1,T+56 days,Project Phase,Monday,Primary social,Project announcement,project_challenge: 8388879 8115013 7229150,"Final project starts: task, rubric, deadline, examples",Current learners,Choose and start a project,Project brief; rubric; deadline; examples,"Project posts belong after the module sequence, when learners have enough skills to build independently.",Planned
TBD,Project week 1,T+58 days,Project Phase,Wednesday,Primary social,Project idea post,project_challenge: 8388879 8115013 7229150,Good project scope vs too-large project scope,Current learners,Pick a feasible project idea,Project examples; rubric,Scope guidance is most useful at the start of project work.,Planned
TBD,Project week 1,T+60 days,Project Phase,Friday,Primary social,Rubric explainer,project_challenge: 8388879 8115013 7229150,How projects will be evaluated,Current learners,Review the rubric,Rubric; passing criteria,Rubric posts belong early in project phase so learners can design toward the criteria.,Planned
TBD,Project week 2,T+63 days,Project Phase,Monday,Primary social,Example project breakdown,project_challenge: 8388879 8115013 7229150,What a strong project looks like,Current learners,Use the example as reference,Previous project or demo project,Examples help learners calibrate quality while they still have time to improve.,Planned
TBD,Project week 2,T+65 days,Project Phase,Wednesday,Primary social,Peer review explainer,project_challenge: 8388879 8115013 7229150,How peer review works,Current learners,Prepare for peer review,Peer review rules; etiquette,"Peer review guidance belongs before reviews begin, not after submissions close.",Planned
TBD,Project week 2,T+67 days,Project Phase,Friday,Primary social,Project showcase prompt,community_learning_public: 8519005 7800221 6919241,Share your project progress,Current learners,Post progress or demo,Community links; sharing guidance,Public progress posts create accountability and early proof for the course.,Planned
TBD,Project deadline week,T+project_deadline-7 days,Project Phase,Monday,Primary social,Deadline reminder,project_challenge: 8388879 8115013 7229150,Final project deadline is one week away,Current learners,Submit project,Deadline; submission link,A one-week reminder gives learners enough time to finish without panic.,Planned
TBD,Project deadline week,T+project_deadline-3 days,Project Phase,Wednesday,Primary social,Final checklist,project_challenge: 8388879 8115013 7229150,"Before you submit your project, check these items",Current learners,Run final checklist and submit,Submission checklist; rubric,Final checklists reduce avoidable submission mistakes.,Planned
TBD,Project deadline week,T+project_deadline-1 day,Project Phase,Friday,Primary social,Last-call project reminder,project_challenge: 8388879 8115013 7229150,Final project submission closes tomorrow,Current learners,Submit project,Submission link; deadline,Last-call urgency belongs only when the deadline is real and close.,Planned
TBD,Peer review week,T+peer_review_start,Project Phase,Monday,Primary social,Peer review starts,project_challenge: 8388879 8115013 7229150,Peer review starts this week,Current learners,Review assigned projects,Peer review assignments; rules,Peer review is a distinct operational phase and needs its own start signal.,Planned
TBD,Peer review week,T+peer_review_start+2 days,Project Phase,Wednesday,Primary social,Review etiquette,community_learning_public: 8519005 7800221 6919241,How to write a useful peer review,Current learners,Complete peer reviews,Review rubric; examples,Midweek review guidance improves review quality before the deadline.,Planned
TBD,Peer review week,T+peer_review_deadline-1 day,Project Phase,Friday,Primary social,Peer review deadline reminder,project_challenge: 8388879 8115013 7229150,Peer reviews are due tomorrow,Current learners,Submit peer reviews,Peer review deadline,Deadline reminders support certificate/completion requirements.,Planned
TBD,Wrap-up week,T+course_end,Wrap-Up,Monday,Primary social,Completion milestone,milestone_results: 9159705 8913769 7482340,{{ course_name }} has wrapped up,Learners and future learners,Celebrate / join next waitlist,Completion stats; certificate numbers; project count,Wrap-up milestone posts belong after the cohort ends and numbers are verified.,Planned
TBD,Wrap-up week,T+course_end+1 day,Wrap-Up,Tuesday,Primary social,Thank-you post,milestone_results: 9159705 8913769 7482340,"Thank you to learners, reviewers, instructors, sponsors, and community",Learners and contributors,Share your project or certificate,Contributor list; sponsor list,Thank-you posts close the social loop and acknowledge the community that made the cohort work.,Planned
TBD,Wrap-up week,T+course_end+2 days,Wrap-Up,Wednesday,Primary social,Project gallery,project_challenge: 8388879 8115013 7229150,Projects from this cohort,Future learners; alumni; current learners,View project gallery,Project gallery; selected examples,Project galleries are strongest after submissions and reviews are complete.,Planned
TBD,Wrap-up week,T+course_end+3 days,Wrap-Up,Thursday,Primary social,Testimonial / learner story,social_proof: 8802681 8518298 8986489 7314383,What learners got from {{ course_name }},Future learners,Join next waitlist,Permissioned quote; learner story,Testimonials belong after the cohort because learners can reflect on the full experience.,Planned
TBD,Wrap-up week,T+course_end+7 days,Wrap-Up,Monday,Primary social,Lessons learned,milestone_results: 9159705 8913769 7482340,What we learned from this cohort,Future learners; community,Read recap or join waitlist,Instructor notes; metrics; improvements,A lessons-learned post turns cohort operations into trust and sets up the next cycle.,Planned
TBD,Post-cohort evergreen,T+course_end+14 days,Evergreen,Monday,Primary social,Evergreen course reminder,resource_update: 9709998 6814872 7482218,You can study {{ course_name }} self-paced,Self-paced learners,Start self-paced or join waitlist,Self-paced links; docs; videos,"After the live cohort, the correct CTA shifts from live urgency to self-paced or next waitlist.",Planned
TBD,Post-cohort evergreen,T+course_end+21 days,Evergreen,Monday,Primary social,Next cohort teaser,interest_validation: 5695158 6814599 7147871,Want to join the next {{ course_name }} cohort?,Future learners,Join next waitlist,Waitlist URL,"A next-cohort teaser belongs after wrap-up, once the current cohort has produced proof and attention.",Planned
